epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,138.352,1.1161,1.23694,1.17091,0.7242,0.66999,0.74112,0.55199,0.99891,0.89222,1.06388,4.24235e-05,4.24235e-05,4.24235e-05
15,146.928,1.12382,1.28263,1.20497,0.70677,0.69261,0.74668,0.55794,0.99482,0.88534,1.06239,3.6533e-05,3.6533e-05,3.6533e-05
16,155.602,1.12713,1.20191,1.17931,0.71283,0.69671,0.74591,0.56109,0.99313,0.8813,1.06126,3.06425e-05,3.06425e-05,3.06425e-05
17,164.246,1.10262,1.1826,1.17987,0.73559,0.69727,0.74783,0.56377,0.9896,0.87683,1.05741,2.4752e-05,2.4752e-05,2.4752e-05
18,172.921,1.06193,1.16922,1.16176,0.7254,0.70432,0.74774,0.56646,0.98572,0.87354,1.05447,1.88615e-05,1.88615e-05,1.88615e-05
19,181.619,1.13509,1.14634,1.17466,0.73473,0.70154,0.75183,0.56867,0.97923,0.86418,1.04985,1.2971e-05,1.2971e-05,1.2971e-05
20,190.311,1.09244,1.11345,1.14193,0.73136,0.70195,0.75233,0.56739,0.98087,0.86563,1.05206,7.0805e-06,7.0805e-06,7.0805e-06
1,10.6181,1.12646,1.69596,1.22935,0.65086,0.53125,0.62034,0.45805,1.07065,1.08116,1.1113,1.785e-05,1.785e-05,1.785e-05
2,19.5687,1.21045,1.52769,1.28159,0.67343,0.57174,0.63153,0.46878,1.05946,1.04982,1.10686,3.50639e-05,3.50639e-05,3.50639e-05
3,28.625,1.1825,1.47139,1.27216,0.687,0.57663,0.651,0.48199,1.05693,1.03792,1.10281,5.03929e-05,5.03929e-05,5.03929e-05
4,37.5672,1.14804,1.33008,1.24539,0.67431,0.58956,0.66517,0.49556,1.04956,1.02759,1.09734,6.3837e-05,6.3837e-05,6.3837e-05
5,46.5367,1.145,1.3771,1.22794,0.67018,0.60403,0.67318,0.50563,1.03363,1.00557,1.0915,7.5396e-05,7.5396e-05,7.5396e-05
6,55.5331,1.20571,1.3424,1.22314,0.67037,0.6251,0.69087,0.5226,1.02464,0.98965,1.08581,8.50701e-05,8.50701e-05,8.50701e-05
7,64.5972,1.19055,1.35203,1.23199,0.66977,0.64623,0.69704,0.52553,1.01494,0.97153,1.0795,8.3657e-05,8.3657e-05,8.3657e-05
8,73.4967,1.15082,1.29909,1.20122,0.70521,0.65917,0.70852,0.53271,1.01178,0.94591,1.07584,7.77665e-05,7.77665e-05,7.77665e-05
9,82.3159,1.1202,1.27403,1.21675,0.70905,0.66328,0.70979,0.53321,1.00979,0.93566,1.07425,7.1876e-05,7.1876e-05,7.1876e-05
10,91.9489,1.093,1.19715,1.17527,0.71958,0.65957,0.71007,0.53615,1.00192,0.91245,1.06943,6.59855e-05,6.59855e-05,6.59855e-05
11,120.332,1.12238,1.34121,1.20635,0.72472,0.66408,0.72296,0.54409,0.99576,0.89784,1.06508,6.0095e-05,6.0095e-05,6.0095e-05
12,129.225,1.11407,1.30241,1.16999,0.70555,0.66804,0.72519,0.54678,0.99625,0.90022,1.06322,5.42045e-05,5.42045e-05,5.42045e-05
13,137.893,1.14215,1.29493,1.1836,0.70971,0.67247,0.73953,0.55283,1.00036,0.89755,1.06654,4.8314e-05,4.8314e-05,4.8314e-05
14,146.726,1.1161,1.23694,1.17091,0.7242,0.66999,0.74112,0.55199,0.99891,0.89222,1.06388,4.24235e-05,4.24235e-05,4.24235e-05
15,155.501,1.12382,1.28263,1.20497,0.70677,0.69261,0.74668,0.55794,0.99482,0.88534,1.06239,3.6533e-05,3.6533e-05,3.6533e-05
16,164.499,1.12713,1.20191,1.17931,0.71283,0.69671,0.74591,0.56109,0.99313,0.8813,1.06126,3.06425e-05,3.06425e-05,3.06425e-05
17,173.45,1.10262,1.1826,1.17987,0.73559,0.69727,0.74783,0.56377,0.9896,0.87683,1.05741,2.4752e-05,2.4752e-05,2.4752e-05
18,182.435,1.06193,1.16922,1.16176,0.7254,0.70432,0.74774,0.56646,0.98572,0.87354,1.05447,1.88615e-05,1.88615e-05,1.88615e-05
19,191.366,1.13509,1.14634,1.17466,0.73473,0.70154,0.75183,0.56867,0.97923,0.86418,1.04985,1.2971e-05,1.2971e-05,1.2971e-05
20,200.196,1.09244,1.11345,1.14193,0.73136,0.70195,0.75233,0.56739,0.98087,0.86563,1.05206,7.0805e-06,7.0805e-06,7.0805e-06
